                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     54,                0.57231,                 0.4481,                  1.156,                0.91654,                0.86401,                0.94112,                0.70535,                 0.8315,                 0.4245,                 1.4193,              0.0004753,              0.0004753,              0.0004753
                     55,                0.56666,                 0.4421,                 1.1508,                0.90902,                0.88329,                0.95234,                0.68776,                0.96808,                0.48275,                 1.5938,              0.0004654,              0.0004654,              0.0004654
                     56,                  0.563,                0.45098,                 1.1497,                0.86947,                0.88916,                 0.9138,                0.65163,                0.85447,                0.49551,                 1.4615,              0.0004555,              0.0004555,              0.0004555
                     57,                0.55976,                0.43919,                 1.1397,                0.86891,                0.89357,                0.92547,                 0.6991,                0.76564,                0.44804,                 1.3325,              0.0004456,              0.0004456,              0.0004456
                     58,                0.56529,                0.44336,                 1.1485,                 0.8658,                0.89363,                0.93967,                0.69254,                0.81091,                0.42799,                 1.3712,              0.0004357,              0.0004357,              0.0004357
                     59,                0.55786,                 0.4377,                 1.1435,                0.87271,                0.83314,                0.90218,                0.69595,                0.78308,                0.42821,                 1.3556,              0.0004258,              0.0004258,              0.0004258
                     60,                0.55758,                0.43095,                 1.1417,                0.88244,                 0.7914,                0.89124,                0.62314,                0.91909,                0.54488,                 1.5021,              0.0004159,              0.0004159,              0.0004159
                     61,                0.55052,                0.42034,                 1.1366,                 0.8232,                0.82988,                 0.8848,                0.65244,                0.81741,                0.50494,                 1.4081,               0.000406,               0.000406,               0.000406
                     62,                0.54072,                0.42385,                 1.1291,                0.87037,                0.81795,                0.88443,                0.67162,                0.81516,                 0.4654,                 1.4048,              0.0003961,              0.0003961,              0.0003961
                     63,                0.54778,                0.42717,                 1.1401,                0.87119,                0.91848,                 0.9418,                0.69214,                0.78604,                0.44543,                 1.3611,              0.0003862,              0.0003862,              0.0003862
                     64,                0.54039,                  0.415,                 1.1318,                0.83815,                0.87625,                0.90253,                0.67825,                0.81788,                0.53975,                 1.4105,              0.0003763,              0.0003763,              0.0003763
                     65,                0.53811,                0.41039,                 1.1254,                0.82375,                0.77584,                0.85617,                0.60193,                0.91596,                0.57906,                 1.5195,              0.0003664,              0.0003664,              0.0003664
                     66,                0.53616,                0.42283,                 1.1264,                0.85361,                0.82139,                0.87998,                 0.6718,                 0.7885,                0.46803,                 1.3852,              0.0003565,              0.0003565,              0.0003565
                     67,                0.53482,                0.40687,                 1.1254,                0.84067,                0.90915,                0.91479,                0.68107,                0.79257,                0.45187,                 1.3761,              0.0003466,              0.0003466,              0.0003466
                     68,                0.53396,                 0.4072,                 1.1216,                0.93462,                0.84646,                0.93349,                0.69564,                0.80643,                0.46146,                  1.396,              0.0003367,              0.0003367,              0.0003367
                     69,                0.53001,                  0.405,                 1.1231,                0.90096,                0.83983,                0.92395,                0.69407,                0.74539,                0.45701,                 1.3243,              0.0003268,              0.0003268,              0.0003268
                     70,                0.51724,                0.39073,                 1.1211,                0.84114,                0.87025,                0.90136,                0.71096,                 0.7268,                0.44701,                 1.2966,              0.0003169,              0.0003169,              0.0003169
                     71,                0.52496,                0.40356,                 1.1167,                0.86251,                0.89843,                0.93499,                0.71918,                0.74573,                 0.4271,                  1.318,               0.000307,               0.000307,               0.000307
                     72,                0.51725,                0.38677,                 1.1133,                0.81317,                0.87532,                0.89246,                0.68848,                0.73896,                0.47611,                  1.311,              0.0002971,              0.0002971,              0.0002971
                     73,                0.51742,                0.40882,                 1.1183,                0.86722,                0.84993,                0.88753,                0.68135,                0.76758,                0.46209,                 1.3516,              0.0002872,              0.0002872,              0.0002872
                     74,                0.50909,                0.39106,                 1.1091,                0.91017,                 0.8607,                0.92326,                0.70448,                0.78034,                 0.4804,                 1.3603,              0.0002773,              0.0002773,              0.0002773
                     75,                0.50386,                0.39528,                 1.1072,                0.88004,                0.85131,                0.92943,                0.71458,                0.74181,                0.42515,                 1.3245,              0.0002674,              0.0002674,              0.0002674
                     76,                0.50916,                0.38446,                 1.1099,                0.86568,                0.88321,                0.91391,                0.70921,                 0.7293,                0.42621,                 1.3018,              0.0002575,              0.0002575,              0.0002575
                     77,                0.51053,                0.39908,                   1.11,                0.90561,                0.88149,                0.93301,                0.69388,                0.81833,                0.45216,                 1.3992,              0.0002476,              0.0002476,              0.0002476
                     78,                0.50952,                0.39027,                 1.1126,                 0.8818,                0.92669,                0.95554,                0.72125,                0.76264,                0.41461,                 1.3468,              0.0002377,              0.0002377,              0.0002377
                     79,                0.50417,                0.38087,                 1.1082,                0.84397,                0.88805,                0.92214,                0.72688,                0.73273,                 0.4025,                 1.3027,              0.0002278,              0.0002278,              0.0002278
                     80,                 0.4922,                0.38261,                 1.1003,                 0.8395,                0.89998,                0.92348,                0.69983,                0.75257,                0.44488,                 1.3377,              0.0002179,              0.0002179,              0.0002179
                     81,                0.49519,                0.37568,                 1.1006,                0.92203,                 0.8799,                0.94703,                0.72468,                 0.7514,                0.43601,                 1.3478,               0.000208,               0.000208,               0.000208
                     82,                0.49467,                0.36777,                 1.1063,                0.88142,                0.89369,                0.93175,                0.72051,                0.74731,                0.40636,                 1.3259,              0.0001981,              0.0001981,              0.0001981
                     83,                0.49077,                0.37268,                 1.0996,                0.91768,                0.90203,                0.94163,                0.74037,                0.71097,                0.39235,                  1.279,              0.0001882,              0.0001882,              0.0001882
                     84,                0.48993,                0.37238,                 1.0953,                0.92846,                0.86925,                0.93434,                0.72471,                0.74299,                0.41358,                 1.3154,              0.0001783,              0.0001783,              0.0001783
                     85,                 0.4832,                0.36665,                 1.0897,                  0.896,                0.88319,                0.93056,                0.72048,                0.73309,                0.40554,                  1.319,              0.0001684,              0.0001684,              0.0001684
                     86,                0.48779,                0.36801,                 1.0954,                0.87818,                0.88099,                0.90867,                 0.7125,                0.74341,                0.40969,                 1.3371,              0.0001585,              0.0001585,              0.0001585
                     87,                0.48369,                0.36284,                 1.0926,                0.92441,                0.89522,                   0.94,                0.72042,                0.71671,                0.44397,                 1.3061,              0.0001486,              0.0001486,              0.0001486
                     88,                0.48532,                 0.3641,                 1.0912,                0.94903,                0.88732,                0.95163,                0.71838,                0.74891,                0.43252,                 1.3398,              0.0001387,              0.0001387,              0.0001387
                     89,                0.47891,                0.36312,                 1.0938,                0.87403,                0.87687,                0.91451,                0.71408,                0.74622,                  0.429,                 1.3341,              0.0001288,              0.0001288,              0.0001288
                     90,                0.47585,                0.35895,                 1.0828,                0.85804,                0.87474,                0.90671,                0.71595,                0.71176,                  0.437,                  1.295,              0.0001189,              0.0001189,              0.0001189
                     91,                 0.3857,                0.25289,                 1.1194,                0.91824,                0.83563,                0.91013,                0.69593,                0.72627,                0.46905,                  1.306,               0.000109,               0.000109,               0.000109
                     92,                0.37783,                0.23352,                  1.115,                 0.9321,                0.88551,                0.92849,                0.70649,                0.71599,                0.46127,                 1.2928,               9.91e-05,               9.91e-05,               9.91e-05
                     93,                 0.3592,                0.22145,                 1.0928,                0.86829,                0.87113,                0.91087,                0.71201,                0.71197,                0.46509,                 1.2875,               8.92e-05,               8.92e-05,               8.92e-05
                     94,                0.35453,                0.21994,                 1.0931,                0.92014,                0.86281,                0.92215,                0.71356,                0.71846,                0.45089,                 1.2987,               7.93e-05,               7.93e-05,               7.93e-05
                     95,                0.35401,                0.21523,                 1.0854,                0.92339,                0.83339,                0.90614,                0.71666,                0.71719,                0.45851,                 1.3034,               6.94e-05,               6.94e-05,               6.94e-05
                     96,                0.34553,                0.21577,                 1.0883,                0.91918,                 0.8557,                0.92762,                0.72955,                0.71273,                0.43346,                 1.2973,               5.95e-05,               5.95e-05,               5.95e-05
                     97,                0.33973,                0.20986,                 1.0744,                0.87511,                0.88293,                0.91955,                0.71961,                 0.7143,                0.44951,                    1.3,               4.96e-05,               4.96e-05,               4.96e-05
                     98,                0.34059,                0.20653,                 1.0805,                0.89283,                0.87957,                0.92997,                0.71665,                0.72505,                0.44221,                 1.3117,               3.97e-05,               3.97e-05,               3.97e-05
                     99,                0.32765,                0.20471,                 1.0705,                 0.8952,                0.88673,                0.92888,                0.72693,                0.71473,                0.44758,                 1.3014,               2.98e-05,               2.98e-05,               2.98e-05
                    100,                0.33636,                0.20562,                 1.0748,                0.89734,                0.88017,                0.93455,                0.73024,                0.70638,                0.44644,                 1.2889,               1.99e-05,               1.99e-05,               1.99e-05
